# Region type : patch inlet
# Faces  :      80
# Area   :      4.00000000e+01
# Time          	sum(phi)
300.05          	-4.00000000e+01
300.1           	-4.00000000e+01
300.15          	-4.00000000e+01
300.2           	-4.00000000e+01
300.25          	-4.00000000e+01
300.3           	-4.00000000e+01
300.35          	-4.00000000e+01
300.4           	-4.00000000e+01
300.45          	-4.00000000e+01
300.5           	-4.00000000e+01
300.55          	-4.00000000e+01
300.6           	-4.00000000e+01
